Name,Symbol
AstraZeneca Pharma,ASTRAZEN.NS
Bafna Pharmaceuticals,BAFNAPHARM.NS
Sharon Bio-Medicine,SHARONBIO.NS
Hester Biosciences,HESTERBIO.NS
Bliss Gvs,BLISSGVS.NS
Brooks Laboratories,BROOKS.NS
Cipla Limited,CIPLA.NS
Kilitch Drugs,KILITCH.NS
FDC Limited,FDC.NS
GlaxoSmithkline Pharmaceuticals,GLAXO.NS
Granules India,GRANULES.NS
Jagsonpal Pharmaceuticals,JAGSNPHARM.NS
J. B.,JBCHEPHARM.NS
Morepen Laboratories,MOREPENLAB.NS
Unichem Laboratories,UNICHEMLAB.NS
Ind-Swift Laboratories,INDSWFTLAB.NS
Nectar Lifesciences,NECLIFE.NS
Natco Pharma,NATCOPHARM.NS
Orchid Pharma,ORCHIDPHAR.NS
Pfizer Limited,PFIZER.NS
SMS Pharmaceuticals,SMSPHARMA.NS
Torrent Pharmaceuticals,TORNTPHARM.NS
Venus Remedies,VENUSREM.NS
Aurobindo Pharma,AUROPHARMA.NS
Dr. Reddy's,DRREDDY.NS
Syncom Healthcare,SYNCOM.NS
Lupin Limited,LUPIN.NS
Sun Pharmaceutical,SUNPHARMA.NS
Indoco Remedies,INDOCO.NS
Sun Pharma,SPARC.NS
Alkem Laboratories,ALKEM.NS
Alembic Pharmaceuticals,APLLTD.NS
Alembic Limited,ALEMBICLTD.NS
Alpa Laboratories,ALPA.NS
Amrutanjan Health,AMRUTANJAN.NS
IOL Chemicals,IOLCP.NS
Gufic Biosciences,GUFICBIO.NS
Cadila Healthcare,CADILAHC.NS
Divi's Laboratories,DIVISLAB.NS
Parabolic Drugs,PARABDRUGS.NS
Mangalam Drugs,MANGALAM.NS
Glenmark Pharmaceuticals,GLENMARK.NS
Ipca Laboratories,IPCALAB.NS
Neuland Laboratories,NEULANDLAB.NS
Suven Life,SUVEN.NS
RPG Life,RPGLIFE.NS
Shilpa Medicare,SHILPAMED.NS
Piramal Phytocare,PIRPHYTO.NS
Bal Pharma,BALPHARMA.NS
Strides Shasun,STAR.NS
Themis Medicare,THEMISMED.NS
Merck Limited,MERCK.NS
Ind-Swift Limited,INDSWFTLTD.NS
Usha Martin,UMESLTD.NS
Ed &,VISUINTL.NS
Zee Learn,ZEELEARN.NS
Zen Technologies,ZENTEC.NS
Tree House,TREEHOUSE.NS
Aptech Limited,APTECHT.NS
Educomp Solutions,EDUCOMP.NS
MT Educare,MTEDUCARE.NS
LCC Infotech,LCCINFOTEC.NS
Career Point,CAREERP.NS
Compucom Software,COMPUSOFT.NS
India Power,DPSCLTD.NS
Energy Development,ENERGYDEV.NS
Power Grid,POWERGRID.NS
KSK Energy,KSK.NS
Reliance Infrastructure,RELINFRA.NS
NHPC Limited,NHPC.NS
Advance Metering,AMTL.NS
Adani Transmissions,ADANITRANS.NS
Nava Bharat,NBVENTURES.NS
Karma Energy,KARMAENG.NS
Gujarat Industries,GIPCL.NS
Jyoti Structures,JYOTISTRUC.NS
Kalpataru Power,KALPATPOWR.NS
Orient Green,GREENPOWER.NS
Torrent Power,TORNTPOWER.NS
RattanIndia Power,RTNPOWER.NS
S. E.,SEPOWER.NS
SJVN Limited,SJVN.NS
Indowind Energy,INDOWIND.NS
Videocon Industries,VIDEOIND.NS
Whirlpool of,WHIRLPOOL.NS
Butterfly Gandhimathi,BUTTERFLY.NS
BPL Limited,BPL.NS
Khaitan Electricals,KHAITANELE.NS
MIRC Electronics,MIRCELECTR.NS
Bajaj Electricals,BAJAJELEC.NS
PG Electroplast,PGEL.NS
Phoenix Lamps,PHOENIXLL.NS
Symphony Limited,SYMPHONY.NS
Salora International,SALORAINTL.NS
Noesis Industries,NOESISIND.NS
Value Industries,VALUEIND.NS
V-Guard Industries,VGUARD.NS
Shilpi Cable,SHILPI.NS
KSS Limited,KSERASERA.NS
UFO Moviez,UFO.NS
Pritish Nandy,PNC.NS
Adlabs Entertainment,ADLABS.NS
Mukta Arts,MUKTAARTS.NS
B.A.G. Films,BAGFILMS.NS
Cinevista Limited,CINEVISTA.NS
Creative Eye,CREATIVEYE.NS
Shemaroo Entertainment,SHEMAROO.NS
Eros International,EROSMEDIA.NS
Prime Focus,PFOCUS.NS
Inox Leisure,INOXLEISUR.NS
Radaan Mediaworks,RADAAN.NS
PVR Limited,PVR.NS
Saregama India,SAREGAMA.NS
Tips Industries,TIPSINDLTD.NS
Balaji Telefilms,BALAJITELE.NS
Jain Irrigation,JISLJALEQS.NS
Jain Irrigation,JISLDVREQS.NS
V.S.T. Tillers,VSTTILLERS.NS
Action Construction,ACE.NS
Gujarat Apollo,GUJAPOLLO.NS
Revathi Equipment,REVATHI.NS
Escorts Limited,ESCORTS.NS
HMT Limited,HMT.NS
Sanghvi Movers,SANGHVIMOV.NS
Sanwaria Agro,SANWARIA.NS
Sita Shree,SITASHREE.NS
Kaveri Seed,KSCL.NS
Karuturi Global,KGL.NS
Usher Agro,USHERAGRO.NS
Agro Dutch,AGRODUTCH.NS
The Anandam,ANANDAMRUB.NS
Assam Company,ASSAMCO.NS
The Bombay,BBTC.NS
Dharani Sugars,DHARSUGAR.NS
Dhampur Sugar,DHAMPURSUG.NS
Norben Tea,NORBTEAEXP.NS
Sakuma Exports,SAKUMA.NS
Harrisons Malayalam,HARRMALAYA.NS
The Peria,PKTEA.NS
N.K Industries,NKIND.NS
Pochiraju Industries,POCHIRAJU.NS
Ruchi Infrastructure,RUCHINFRA.NS
STEL Holdings,STEL.NS
Prabhat Dairy,PRABHAT.NS
Ruchi Soya,RUCHISOYA.NS
Vadilal Industries,VADILALIND.NS
Agro Tech,ATFL.NS
Gokul Agro,GOKULAGRO.NS
Hatsun Agro,HATSUN.NS
JVL Agro,JVLAGRO.NS
REI Agro,REIAGROLTD.NS
Gujarat Ambuja,GAEL.NS
Tata Global,TATAGLOBAL.NS
CCL Products,CCL.NS
LT Foods,DAAWAT.NS
Farmax India,FARMAXIND.NS
ADF Foods,ADFFOODS.NS
Kohinoor Foods,KOHINOOR.NS
Vimal Oil,VIMALOIL.NS
GlaxoSmithKline Consumer,GSKCONS.NS
Gokul Refoils,GOKUL.NS
KRBL Limited,KRBL.NS
Kwality Limited,KWALITY.NS
McLeod Russel,MCLEODRUSS.NS
Nestlé India,NESTLEIND.NS
Raj Oil,RAJOIL.NS
Rasoya Proteins,RASOYPR.NS
Rossell India,ROSSELLIND.NS
Tata Coffee,TATACOFFEE.NS
Britannia Industries,BRITANNIA.NS
Anik Industries,ANIKINDS.NS
Heritage Foods,HERITGFOOD.NS
Gujarat State,GSPL.NS
GAIL (India),GAIL.NS
Indraprastha Gas,IGL.NS
J.K. Cement,JKCEMENT.NS
Visaka Industries,VISAKAIND.NS
NCL Industries,NCLIND.NS
Orient Bell,ORIENTBELL.NS
Barak Valley,BVCL.NS
ACC Limited,ACC.NS
Ambuja Cements,AMBUJACEM.NS
Andhra Cements,ANDHRACEMT.NS
Madhav Marbles,MADHAV.NS
Star Ferro,SFCL.NS
Aro Granite,AROGRANITE.NS
Asian Granito,ASIANTILES.NS
Dalmia Bharat,DALMIABHA.NS
Edayar Zinc,BINANIIND.NS
Birla Corporation,BIRLACORPN.NS
Burnpur Cement,BURNPUR.NS
Electrosteel Castings,ELECTCAST.NS
Prism Cement,PRISMCEM.NS
Euro Ceramics,EUROCERA.NS
Cera Sanitaryware,CERA.NS
UltraTech Cement,ULTRACEMCO.NS
Mangalam Cement,MANGLMCEM.NS
Somany Ceramics,SOMANYCERA.NS
Shree Cement,SHREECEM.NS
Kakatiya Cement,KAKATCEM.NS
Gujarat Sidhee,GSCLCEMENT.NS
Orient Cement,ORIENTCEM.NS
Murudeshwar Ceramics,MURUDCERA.NS
Regency Ceramics,REGENCERAM.NS
Century Textiles,CENTURYTEX.NS
JK Lakshmi,JKLAKSHMI.NS
Deccan Cements,DECCANCE.NS
The India,INDIACEM.NS
Kajaria Ceramics,KAJARIACER.NS
HIL Limited,HIL.NS
Everest Industries,EVERESTIND.NS
Sejal Glass,SEZAL.NS
HeidelbergCement India,HEIDELBERG.NS
HSIL Limited,HSIL.NS
IFGL Refractories,IFGLREFRAC.NS
Jenson &,JENSONICOL.NS
Nitco Limited,NITCO.NS
Grindwell Norton,GRINDWELL.NS
OCL India,OCL.NS
Oriental Trimex,ORIENTALTL.NS
Ramco Industries,RAMCOIND.NS
Sanghi Industries,SANGHIIND.NS
Sicagen India,SICAGEN.NS
Sintex Industries,SINTEX.NS
Carborundum Universal,CARBORUNIV.NS
Beardsell Limited,BEARDSELL.NS
Grasim Industries,GRASIM.NS
Greenply Industries,GREENPLY.NS
McNally Bharat,MBECL.NS
Kaushalya Infrastructure,KAUSHALYA.NS
Hindustan Construction,HCC.NS
Jaihind Projects,JAIHINDPRO.NS
J. Kumar,JKIL.NS
KNR Constructions,KNRCON.NS
Praj Industries,PRAJIND.NS
Voltas Limited,VOLTAS.NS
NBCC (India),NBCC.NS
Valecha Engineering,VALECHAENG.NS
Ahluwalia Contracts,AHLUCONT.NS
B.L. Kashyap,BLKASHYAP.NS
Jaiprakash Associates,JPASSOCIAT.NS
Ashoka Buildcon,ASHOKA.NS
AXISCADES Engineering,AXISCADES.NS
BF Utilities,BFUTILITIE.NS
BGR Energy,BGRENERGY.NS
Noida Toll,NOIDATOLL.NS
BS Limited,BSLIMITED.NS
C &,CANDC.NS
Consolidated Construction,CCCL.NS
ITD Cementation,ITDCEM.NS
Hindustan Dorr-Oliver,HINDDORROL.NS
Techno Electric,TECHNO.NS
Sadbhav Engineering,SADBHAV.NS
Patel Engineering,PATELENG.NS
A2Z Infra,A2ZINFRA.NS
Shriram EPC,SHRIRAMEPC.NS
Excel Realty,EXCEL.NS
Gammon India,GAMMONIND.NS
Gayatri Projects,GAYAPROJ.NS
GI Engineering,GISOLUTION.NS
Sunil Hitech,SUNILHITEC.NS
The Indian,INDIANHUME.NS
IL&FS Engineering,IL&FSENGG.NS
IVRCL Limited,IVRCLINFRA.NS
JMC Projects,JMCPROJECT.NS
Larsen &,LT.NS
Punj Lloyd,PUNJLLOYD.NS
Man Infraconstruction,MANINFRA.NS
MBL Infrastructures,MBLINFRA.NS
Mukand Engineers,MUKANDENGG.NS
NCC Limited,NCC.NS
Om Metals,OMMETALS.NS
PBA Infrastructure,PBAINFRA.NS
Petron Engineering,PETRONENGG.NS
Power Mech,POWERMECH.NS
Puravankara Limited,PURVA.NS
Simplex Projects,SIMPLEX.NS
VKS Projects,VKSPL.NS
Pratibha Industries,PRATIBHA.NS
Prakash Constrowell,PRAKASHCON.NS
Ramky Infrastructure,RAMKY.NS
Reliance Industrial,RIIL.NS
RPP Infra,RPPINFRA.NS
Simplex Infrastructures,SIMPLEXINF.NS
Skipper Limited,SKIPPER.NS
SKIL Infrastructure,SKIL.NS
SPML Infra,SPMLINFRA.NS
Supreme Infrastructure,SUPREMEINF.NS
Tarmat Limited,TARMAT.NS
Tantia Constructions,TANTIACONS.NS
Unity Infraprojects,UNITY.NS
Walchandnagar Industries,WALCHANNAG.NS
Engineers India,ENGINERSIN.NS
Technofab Engineering,TECHNOFAB.NS
Sadbhav Infrastructure,SADBHIN.NS
Madhucon Projects,MADHUCON.NS
Shirpur Gold,SHIRPUR-G.NS
REI Six,REISIXTEN.NS
IRB Infrastructure,IRB.NS
ARSS Infrastructure,ARSSINFRA.NS
Atlanta Limited,ATLANTA.NS
Gammon Infrastructure,GAMMNINFRA.NS
GMR Infrastructure,GMRINFRA.NS
IL&FS Transportation,IL&FSTRANS.NS
Jaypee Infratech,JPINFRATEC.NS
MEP Infrastructure,MEP.NS
PNC Infratech,PNCINFRA.NS
La Opala,LAOPALA.NS
Blue Star,BLUESTARCO.NS
PIL ITALICA,PILITA.NS
JIK Industries,JIKIND.NS
Orient Paper,ORIENTPPR.NS
TTK Prestige,TTKPRESTIG.NS
Rushil Décor,RUSHIL.NS
