3M India,3MINDIA.NS
Bharat Dynamics,BDL.NS
Bharat Electronics,BEL.NS
Bharat Forge,BHARATFORG.NS
Bharat Heavy,BHEL.NS
Bharat Petroleum,BPCL.NS
Bharat Rasayan,BHARATRAS.NS
Bharti Airtel,BHARTIARTL.NS
Biocon,BIOCON.NS
Birla Corporation,BIRLACORPN.NS
Birlasoft,BSOFT.NS
Bliss GVS,BLISSGVS.NS
Blue Dart,BLUEDART.NS
Blue Star,BLUESTARCO.NS
Bombay Burmah,BBTC.NS
Bombay Dyeing,BOMDYEING.NS
Bosch,BOSCHLTD.NS
Brigade Enterprises,BRIGADE.NS
Britannia Industries,BRITANNIA.NS
CARE Ratings,CARERATING.NS
CCL Products,CCL.NS
CESC,CESC.NS
CRISIL,CRISIL.NS
CSB Bank,CSBBANK.NS
Cadila Healthcare,CADILAHC.NS
Can Fin,CANFINHOME.NS
Canara Bank,CANBK.NS
Caplin Point,CAPLIPOINT.NS
Capri Global,CGCL.NS
Carborundum Universal,CARBORUNIV.NS
Castrol India,CASTROLIND.NS
Ceat,CEATLTD.NS
Central Bank,CENTRALBK.NS
Central Depository,CDSL.NS
Century Plyboards,CENTURYPLY.NS
Century Textile,CENTURYTEX.NS
Cera Sanitaryware,CERA.NS
Chalet Hotels,CHALET.NS
Chambal Fertilizers,CHAMBLFERT.NS
Chennai Petroleum,CHENNPETRO.NS
Cholamandalam Financial,CHOLAHLDNG.NS
Cholamandalam Investment,CHOLAFIN.NS
Cipla,CIPLA.NS
City Union,CUB.NS
Coal India,COALINDIA.NS
Cochin Shipyard,COCHINSHIP.NS
Coforge,COFORGE.NS
Colgate Palmolive,COLPAL.NS
Container Corporation,CONCOR.NS
Coromandel International,COROMANDEL.NS
CreditAccess Grameen,CREDITACC.NS
Crompton Greaves,CROMPTON.NS
Cummins India,CUMMINSIND.NS
Cyient Ltd,CYIENT.NS
DBCorp Ltd,DBCORP.NS
DCB Bank,DCBBANK.NS
DCM Shriram,DCMSHRIRAM.NS
DLF Ltd,DLF.NS
Dabur India,DABUR.NS
Dalmia Bharat,DALBHARAT.NS
Deepak Nitrite,DEEPAKNTR.NS
Delta Corp,DELTACORP.NS
Dhani Services,DHANI.NS
Dhanuka Agritech,DHANUKA.NS
Dilip Buildcon,DBL.NS
Dish TV,DISHTV.NS
Dishman Carbogen,DCAL.NS
Divi's Laboratories,DIVISLAB.NS
Dixon Technologies,DIXON.NS
Lal Path Lab,LALPATHLAB.NS
Dr Reddy,DRREDDY.NS
EID Parry,EIDPARRY.NS
EIH Ltd,EIHOTEL.NS
EPL Ltd,EPL.NS
ESAB India,ESABINDIA.NS
Edelweiss Financial,EDELWEISS.NS
Eicher Motors,EICHERMOT.NS
Elgi Equipments,ELGIEQUIP.NS
Emami Ltd,EMAMILTD.NS
Endurance Technologies,ENDURANCE.NS
Engineers India,ENGINERSIN.NS
Equitas Holdings,EQUITAS.NS
Eris Lifesciences,ERIS.NS
Escorts,ESCORTS.NS
Exide Industries,EXIDEIND.NS
FDC Ltd,FDC.NS
Federal Bank,FEDERALBNK.NS
Fine Organic,FINEORG.NS
Finolex Cables,FINCABLES.NS
Finpipe,FINPIPE.NS
Firstsource Solutions,FSL.NS
Fortis Healthcare,FORTIS.NS
Future Consumer,FCONSUMER.NS
Future Retail,FRETAIL.NS
GAIL (India),GAIL.NS
GE Power,GEPIL.NS
GHCL Ltd,GHCL.NS
GMMP Faudler,GMMPFAUDLR.NS
GMR Infrastructure,GMRINFRA.NS
Galaxy Surfactants,GALAXYSURF.NS
Garden Reach,GRSE.NS
Garware Technical,GARFIBRES.NS
General Insurance,GICRE.NS
Gillette India,GILLETTE.NS
Glaxosmithkline Pharmaceuticals,GLAXO.NS
Glenmark Pharmaceuticals,GLENMARK.NS
Godfrey Phillips,GODFRYPHLP.NS
Godrej Agrovet,GODREJAGRO.NS
Godrej Consumer,GODREJCP.NS
Godrej Industries,GODREJIND.NS
Godrej Properties,GODREJPROP.NS
Granules India,GRANULES.NS
Graphite India,GRAPHITE.NS
Grasim Industries,GRASIM.NS
Great Eastern,GESHIP.NS
Greaves Cotton,GREAVESCOT.NS
Grindwell Norton,GRINDWELL.NS
Gujarat Alkalies,GUJALKALI.NS
Gujarat Ambuja,GAEL.NS
Gujarat Fluorochemicals,FLUOROCHEM.NS
Gujarat Gas,GUJGASLTD.NS
Gujarat Mineral,GMDCLTD.NS
Gujarat Narmada,GNFC.NS
Gujarat Pipavav,GPPL.NS
Gujarat State Fertilizers & Chemicals Ltd,GSFC.NS
Gujarat State Petronet Ltd,GSPL.NS
Gulf Oil,GULFOILLUB.NS
HEG Ltd,HEG.NS
HCL Technologies,HCLTECH.NS
HDFC Asset,HDFCAMC.NS
HDFC Bank,HDFCBANK.NS
HDFC Life,HDFCLIFE.NS
HFCL Ltd,HFCL.NS
Hathway Cable,HATHWAY.NS
Hatsun Agro,HATSUN.NS
Havells India,HAVELLS.NS
HeidelbergCement India,HEIDELBERG.NS
Heritage Foods,HERITGFOOD.NS
Hero MotoCorp,HEROMOTOCO.NS
Himadri Speciality,HSCL.NS
Hindalco Industries,HINDALCO.NS
Hindustan Aeronautics,HAL.NS
Hindustan Copper,HINDCOPPER.NS
Hindustan Petroleum,HINDPETRO.NS
Hindustan Unilever,HINDUNILVR.NS
Hindustan Zinc,HINDZINC.NS
Honeywell Automation,HONAUT.NS
Housing &,HUDCO.NS
Housing Development,HDFC.NS
Huhtamaki India,HUHTAMAKI.NS
ICICI Bank,ICICIBANK.NS
ICICI Lombard,ICICIGI.NS
ICICI Prudential,ICICIPRULI.NS
ICICI Securities,ISEC.NS
ICRA Ltd,ICRA.NS
IDBI Bank,IDBI.NS
IDFC First,IDFCFIRSTB.NS
IDFC Ltd,IDFC.NS
IFB Industries,IFBIND.NS
IIFL Finance,IIFL.NS
IIFL Wealth,IIFLWAM.NS
IOL Chem,IOLCP.NS
IRB Infrastructure,IRB.NS
IRCON International,IRCON.NS
ITC Ltd,ITC.NS
ITI Ltd,ITI.NS
India Cements,INDIACEM.NS
Indiabulls Housing,IBULHSGFIN.NS
Indiabulls Real,IBREALEST.NS
Indiamart Intermesh,INDIAMART.NS
Indian Bank,INDIANB.NS
Indian Energy,IEX.NS
Indian Hotels,INDHOTEL.NS
Indian Oil,IOC.NS
Indian Overseas,IOB.NS
Indian Railway,IRCTC.NS
Indoco Remedies,INDOCO.NS
Indraprastha Gas,IGL.NS
Indus Towers,INDUSTOWER.NS
IndusInd Bank,INDUSINDBK.NS
Info Edge,NAUKRI.NS
Infosys,INFY.NS
Ingersoll Rand,INGERRAND.NS
Inox Leisure,INOXLEISUR.NS
InterGlobe Aviation,INDIGO.NS
Ipca Laboratories,IPCALAB.NS
JB Chemicals,JBCHEPHARM.NS
JK Cement,JKCEMENT.NS
JK Lakshmi,JKLAKSHMI.NS
JK Paper,JKPAPER.NS
JK Tyre,JKTYRE.NS
JM Financial,JMFINANCIL.NS
JSW Energy,JSWENERGY.NS
JSW Steel,JSWSTEEL.NS
JTEKT India,JTEKTINDIA.NS
Jagran Prakashan,JAGRAN.NS
Jai Corp,JAICORPLTD.NS
Jammu &,J&KBANK.NS
Jamna Auto,JAMNAAUTO.NS
Jindal Saw,JINDALSAW.NS
Jindal Stainless (Hisar) Ltd,JSLHISAR.NS
Jindal Stainless Ltd,JSL.NS
Jindal Steel,JINDALSTEL.NS
Johnson Controls,JCHAC.NS
Jubilant Foodworks,JUBLFOOD.NS
Justdial Ltd,JUSTDIAL.NS
Jyothy Labs,JYOTHYLAB.NS
KEI Industries,KEI.NS
KNR Constructions,KNRCON.NS
KRBL Ltd,KRBL.NS
KSB Ltd,KSB.NS
Kajaria Ceramics,KAJARIACER.NS
Kalpataru Power,KALPATPOWR.NS
Kansai Nerolac,KANSAINER.NS
Karnataka Bank,KTKBANK.NS
Karur Vysya,KARURVYSYA.NS
Kaveri Seed,KSCL.NS
Kec International,KEC.NS
Kolte-Patil Developers,KOLTEPATIL.NS
Kotak Mahindra,KOTAKBANK.NS
L&T Finance,L&TFH.NS
L&T Technology,LTTS.NS
LIC Housing,LICHSGFIN.NS
La Opala,LAOPALA.NS
Lakshmi Machine,LAXMIMACH.NS
Larsen & Toubro Infotech Ltd,LTI.NS
Larsen & Toubro Ltd,LT.NS
Laurus Labs,LAURUSLABS.NS
Lemon Tree,LEMONTREE.NS
Linde India,LINDEINDIA.NS
Lupin Ltd,LUPIN.NS
Lux Industries,LUXIND.NS
MAS Financial,MASFIN.NS
MMTC Ltd,MMTC.NS
MOIL Ltd,MOIL.NS
MRF Ltd,MRF.NS
Mahanagar Gas,MGL.NS
Maharashtra Scooters,MAHSCOOTER.NS
Maharashtra Seamless,MAHSEAMLES.NS
M&M Financial Services Ltd,M&MFIN.NS
Mahindra & Mahindra Ltd,M&M.NS
Mahindra CIE,MAHINDCIE.NS
Mahindra Holidays,MHRIL.NS
Manappuram Finance,MANAPPURAM.NS
Mangalore Refinery,MRPL.NS
Marico Ltd,MARICO.NS
Maruti Suzuki,MARUTI.NS
Max Financial,MFSL.NS
Metropolis Healthcare,METROPOLIS.NS
MindTree Ltd,MINDTREE.NS
Minda Corporation,MINDACORP.NS
Minda Industries,MINDAIND.NS
Mishra Dhatu,MIDHANI.NS
Motherson Sumi,MOTHERSUMI.NS
Motilal Oswal,MOTILALOFS.NS
MphasiS Ltd,MPHASIS.NS
Multi Commodity,MCX.NS
Muthoot Finance,MUTHOOTFIN.NS
NATCO Pharma,NATCOPHARM.NS
NBCC (India),NBCC.NS
NCC Ltd,NCC.NS
NESCO Ltd,NESCO.NS
NHPC Ltd,NHPC.NS
NLC India,NLCINDIA.NS
NMDC Ltd,NMDC.NS
NOCIL Ltd,NOCIL.NS
NTPC Ltd,NTPC.NS
Narayana Hrudayalaya,NH.NS
National Aluminium,NATIONALUM.NS
National Fertilizers,NFL.NS
Navin Fluorine,NAVINFLUOR.NS
Navneet Education,NAVNETEDUL.NS
Nestle India,NESTLEIND.NS
Network18 Media,NETWORK18.NS
Nilkamal Ltd,NILKAMAL.NS
Nippon Life,NAM-INDIA.NS
Oberoi Realty,OBEROIRLTY.NS
ONGC,ONGC.NS
Oil India,OIL.NS
Omaxe Ltd,OMAXE.NS
Oracle Financial,OFSS.NS
Orient Cement,ORIENTCEM.NS
Orient Electric,ORIENTELEC.NS
PI Industries,PIIND.NS
PNB Housing,PNBHOUSING.NS
PNC Infratech,PNCINFRA.NS
PSP Projects,PSPPROJECT.NS
PTC India,PTC.NS
PVR Ltd,PVR.NS
Page Industries,PAGEIND.NS
Persistent Systems,PERSISTENT.NS
Petronet LNG,PETRONET.NS
Pfizer Ltd,PFIZER.NS
Phillips Carbon,PHILIPCARB.NS
Phoenix Mills,PHOENIXLTD.NS
Pidilite Industries,PIDILITIND.NS
Piramal Enterprises,PEL.NS
Poly Medicure,POLYMED.NS
Polycab India,POLYCAB.NS
Polyplex Corporation,POLYPLEX.NS
Power Finance,PFC.NS
Power Grid,POWERGRID.NS
Praj Industries,PRAJIND.NS
Prestige Estates,PRESTIGE.NS
Prism Johnson,PRSMJOHNSN.NS
P&G Health Ltd,PGHL.NS
P&G Care Ltd,PGHH.NS
Punjab National,PNB.NS
Quess Corp,QUESS.NS
RBL Bank,RBLBANK.NS
REC Ltd,RECLTD.NS
RITES Ltd,RITES.NS
Radico Khaitan,RADICO.NS
Rail Vikas,RVNL.NS
Rain Industries,RAIN.NS
Rajesh Exports,RAJESHEXPO.NS
Rallis India,RALLIS.NS
Rashtriya Chemicals,RCF.NS
Ratnamani Metals,RATNAMANI.NS
Raymond Ltd,RAYMOND.NS
Redington (India),REDINGTON.NS
Relaxo Footwears,RELAXO.NS
Reliance Industries,RELIANCE.NS
SBI Cards,SBICARD.NS
SBI Life,SBILIFE.NS
SJVN Ltd,SJVN.NS
SKF India,SKFINDIA.NS
SRF Ltd,SRF.NS
Sanofi India,SANOFI.NS
Schaeffler India,SCHAEFFLER.NS
Schneider Electric,SCHNEIDER.NS
Security and,SIS.NS
Sequent Scientific,SEQUENT.NS
Sheela Foam,SFL.NS
Shilpa Medicare,SHILPAMED.NS
Shipping Corporation,SCI.NS
Shoppers Stop,SHOPERSTOP.NS
Shree Cement,SHREECEM.NS
Shriram City,SHRIRAMCIT.NS
Shriram Transport,SRTRANSFIN.NS
Siemens Ltd,SIEMENS.NS
Sobha Ltd,SOBHA.NS
Solar Industries,SOLARINDS.NS
Solara Active,SOLARA.NS
Sonata Software,SONATSOFTW.NS
South Indian,SOUTHBANK.NS
Spicejet Ltd,SPICEJET.NS
Star Cement,STARCEMENT.NS
State Bank,SBIN.NS
Steel Authority,SAIL.NS
Sterling And,SWSOLAR.NS
Strides Pharma,STAR.NS
Sudarshan Chemical,SUDARSCHEM.NS
Sumitomo Chemical,SUMICHEM.NS
Sun Pharma,SPARC.NS
Sun Pharmaceutical,SUNPHARMA.NS
Sun TV,SUNTV.NS
Sundaram Finance,SUNDARMFIN.NS
Sundram Fasteners,SUNDRMFAST.NS
Sunteck Realty,SUNTECK.NS
Suprajit Engineering,SUPRAJIT.NS
Supreme Industries,SUPREMEIND.NS
Supreme Petrochem,SUPPETRO.NS
Suven Pharmaceuticals,SUVENPHAR.NS
Suzlon Energy,SUZLON.NS
Swan Energy,SWANENERGY.NS
Swaraj Engines,SWARAJENG.NS
Symphony Ltd,SYMPHONY.NS
Syngene International,SYNGENE.NS
TCI Express,TCIEXP.NS
TCNS Clothing,TCNSBRANDS.NS
TTK Prestige,TTKPRESTIG.NS
TV Today,TVTODAY.NS
TV18 Broadcast,TV18BRDCST.NS
TVS Motor,TVSMOTOR.NS
Tasty Bite,TASTYBITE.NS
Tata Chemicals,TATACHEM.NS
Tata Coffee,TATACOFFEE.NS
Tata Communications,TATACOMM.NS
Tata Consultancy,TCS.NS
Tata Consumer,TATACONSUM.NS
Tata Elxsi,TATAELXSI.NS
Tata Investment,TATAINVEST.NS
Tata Motors Ltd DVR,TATAMTRDVR.NS
Tata Motors Ltd,TATAMOTORS.NS
Tata Power,TATAPOWER.NS
Tata Steel BSL Ltd,TATASTLBSL.NS
Tata Steel Ltd,TATASTEEL.NS
Teamlease Services,TEAMLEASE.NS
Tech Mahindra,TECHM.NS
The New,NIACL.NS
The Ramco,RAMCOCEM.NS
Thermax Ltd,THERMAX.NS
Thyrocare Technologies,THYROCARE.NS
Timken India,TIMKEN.NS
Titan Company,TITAN.NS
Torrent Pharmaceuticals,TORNTPHARM.NS
Torrent Power,TORNTPOWER.NS
Trent Ltd,TRENT.NS
Trident Ltd,TRIDENT.NS
Tube Investments,TIINDIA.NS
UCO Bank,UCOBANK.NS
UFLEX Ltd,UFLEX.NS
UPL Ltd,UPL.NS
Ujjivan Financial,UJJIVAN.NS
Ujjivan Small,UJJIVANSFB.NS
UltraTech Cement,ULTRACEMCO.NS
Union Bank,UNIONBANK.NS
United Breweries,UBL.NS
United Spirits,MCDOWELL-N.NS
V-Guard Industries,VGUARD.NS
V-Mart Retail,VMART.NS
VIP Industries,VIPIND.NS
VRL Logistics,VRLLOG.NS
VST Industries,VSTIND.NS
Vaibhav Global,VAIBHAVGBL.NS
Vakrangee Ltd,VAKRANGEE.NS
Vardhman Textiles,VTL.NS
Varroc Engineering,VARROC.NS
Varun Beverages,VBL.NS
Venky's (India),VENKEYS.NS
Vinati Organics,VINATIORGA.NS
Vodafone Idea,IDEA.NS
Voltas Ltd,VOLTAS.NS
WABCO India,WABCOINDIA.NS
Welspun Corp,WELCORP.NS
Welspun India,WELSPUNIND.NS
Westlife Development,WESTLIFE.NS
Whirlpool of,WHIRLPOOL.NS
Wipro Ltd,WIPRO.NS
Wipra,WOCKPHARMA.NS
Yes Bank,YESBANK.NS
Zee Entertainment,ZEEL.NS
Zensar Technolgies,ZENSARTECH.NS
Zydus Wellness,ZYDUSWELL.NS
eClerx Services,ECLERX.NS
Ajmera Realty,AJMERA.NS
Asahi India,ASAHIINDIA.NS
Arvind Limited,ARVIND.NS
LT Foods,DAAWAT.NS
Deepak Fertilisers,DEEPAKFERT.NS
D-Link (India),DLINKINDIA.NS
Dwarikesh Sugar,DWARKESH.NS
Donear Industries,DONEAR.NS
Gokaldas Exports,GOKEX.NS
HCL,HCLTECH.NS
Himatsingka Seide,HIMATSEIDE.NS
Hinduja Global,HGS.NS
K.C.P. Sugar,KCPSUGIND.NS
Liberty Shoes,LIBERTSHOE.NS
Zen Technologies,ZENTEC.NS
Titagarh Wagons,TWL.NS
Mirza International,MIRZAINT.NS
